1,"'Tiger Woods is surpassing expectations, though killer instinct is still missing'",bbc-sport,"Tiger Woods is in good shape to be contending for titles through the summer, and just needs to rediscover his killer instinct, writes Iain Carter.",,,
4,"At NYC's Big Crypto Conference, the Lamborghinis Are Rented and Protests Are Staged",bloomberg,"John Nouri makes a living renting out exotic cars for weddings, birthdays, bachelorette parties, and now ? Bitcoin conferences?",,,
8,"States Can Legalize Sports Gambling, U.S. Supreme Court Rules",bloomberg,"The U.S. Supreme Court freed states to legalize gambling on individual sporting events, unleashing a race to attract billions of dollars in wagers and heralding a new era for the nation's sports leagues.",,,
5,"Ross Hints at Options Beyond ZTE Sanctions, Renews Jabs at China",bloomberg,"Commerce Secretary Wilbur Ross said the U.S. is exploring alternatives to sanctions on China's ZTE Corp. separately from trade talks that resume this week with the Asian nation, which he blasted again for its unfair practices in the global economy.",,,
9,Trump Needs a Human Rights Deal With North Korea,bloomberg,The Helsinki Accords helped bring down the Iron Curtain. The same approach could work in the Hermit Kingdom.,,,
5,Commerce chief Ross: 'Strong personal relationship' between Trump and Xi key to trade talks,cnbc,Commerce Secretary Wilbur Ross said he hopes that the U.S. and China can come to an agreement over the myriad trade disputes between the two nations. One reason for that optimism is the close relationship between the two heads of state.,,,
1,Board Game Shop Is Getting Support Calls From Fortnite Fans - IGN,ign,Support calls are being made to a local board game shop in Ohio from frustrated Fortnite players.,,,
1,Netflix Horror Anthology Series From Guillermo del Toro in Development - IGN,ign,"The series, Guillermo del Toro Presents 10 After Midnight, doesn't have a premiere date yet.",,,
1,GTA 5: High-Flying Stunts Through an Abandoned Los Santos (By Evolve Stunting) - IGN Video,ign,Making Los Santos into one big playground. Check out more videos like these on Evolve Stunting's YouTube channel. https://www.youtube.com/user/EvolveStunting Note: Hosting of this video was allowed by its original owner.,,,
4,Tesla Considered Adding Eye Tracking and Steering-Wheel Sensors to Autopilot System,the-wall-street-journal,"Long before the fatal March 23 crash of a Tesla with its Autopilot system engaged, some company engineers expressed concern that more warnings were needed to keep drivers' eyes on the road or hands on the wheel.",,,
1,Megan Fox Is Being Mom Shamed Over This Photo Of Her Sons At The Beach And It's So Ridiculous I Can't,buzzfeed,Mom shamers are the worst.,,,
8,States hoping for long-term benefits from sports betting might not get the windfall they're looking for,cnbc,"A Supreme Court decision on sports gambling could bring a temporary revenue windfall for states. But those betting on a long-term, reliable source of new funds face some long odds.",,,
2,Here's where and when you'll be able to gamble on sports legally,cnbc,State legislators across the nation are racing to authorize sports gambling.,,,
5,White House press briefing: Live updates,cnn,The deputy press secretary will brief journalists as the US opens its embassy in Jerusalem and North Korea talks loom. Follow live.,,,
1,"Boss Key Productions Shuts Down, Radical Heights Servers Will Remain Online 'for the Near Future' - IGN",ign,"The developer of LawBreakers and Radical Heights is ""effectively no more.&quot",,,
1,"Cliff Bleszinski steps away from games, says Boss Key Productions is ""no more""",polygon,"Servers for Radical Heights will ""remain up for the near future""",,,
1,"Margot Kidder, Superman's iconic Lois Lane, dies at 69",polygon,She brought fizz and fight to an iconic character with Christopher Reeve's equally iconic Clark Kent,,,
6,Man City show off Premier League trophy,bbc-sport,Pep Guardiola's side won the Premier League title beating their nearest rivals Manchester United by 19 points.,,,
4,Les Moonves Could Be Making a Big Mistake,bloomberg,The war between CEO Les Moonves and Shari Redstone threatens both businesses at a time when they need a plan more than ever.,,,
1,"Angela And Meredith From ""The Office"" Just Recreated One Of Their Most Hilarious Scenes Together",buzzfeed,"SHUT UP, ANGELA!!!",,,
5,"Democrats Elizabeth Warren, Richard Blumenthal and Ron Wyden demand answers from AT&T and Novartis about payments to Trump lawyer Michael Cohen's firm",cnbc,"The letters sent to AT&T and Novartis say the payments ""raise obvious questions about corruption.""",,,
8,Melania Trump undergoes kidney surgery at Walter Reed medical center,cnn,"First lady Melania Trump underwent kidney surgery Monday at Walter Reed National Military Medical Center, according to a statement from her office.",,,
8,Former Senate Majority Leader Harry Reid has surgery for pancreatic cancer,cnn,"Former Senate Majority Leader Harry Reid, a Nevada Democrat, underwent surgery for pancreatic cancer Monday, according to a statement from Reid's family.",,,
9,Scenes of Violence at the Gaza Border,the-new-york-times,Monday has been the deadliest day since protests began at the Gaza border on March 30.,,,
9,Gaza and Jerusalem: Images of Violence and Ceremony,the-new-york-times,Scenes of chaos and violence in Gaza emerge the same day as those of speech-making and applause in Jerusalem.,,,
9,Pastor Who Said Jews Are Going to Hell Led Prayer at Jerusalem Embassy Opening,the-new-york-times,"Robert Jeffress, a Dallas evangelical pastor, played a prominent role in the ceremony, as did the Rev. John C. Hagee, a televangelist with a history of inflammatory remarks.",,,
8,Marines reinforce U.S. compounds as violence flares after Trump moves embassy to Jerusalem,the-washington-post,Embassy reinforcements are sought by the State Department at times when diplomatic facilities are considered as facing a heightened risk of violence.,,,
4,"Amazon Tests New Ad That Competes With Google, Criteo",bloomberg,Amazon.com Inc. is taking its most assertive step yet into the digital-advertising market by testing a new display ad offering that threatens multibillion-dollar revenue streams at Google and firms like Criteo SA.,,,
4,Silicon Valley Bank Is Coming for Canada's Burgeoning Tech Scene,bloomberg,"Canada's tech scene is heating up, and one of Silicon Valley's oldest financial institutions wants a piece.",,,
8,Melania Trump Is In The Hospital After Having Kidney Surgery,buzzfeed,"Although the White House says the condition is benign, the first lady is expected to remain hospitalized for the rest of the week.",,,
2,52 Memes You'll Only Get If You've Loved A Cat,buzzfeed,My cat at 2pm: Sleeping. My cat at 2am: You up bro?,,,
2,17 Projects To Do If You Love West Elm But Hate The Price Tag,buzzfeed,Because imitation is the highest form of flattery.,,,
4,"CBS, Viacom had agreed on price for deal before lawsuit, sources say",cnbc,"The two media companies had a deal in price in place, sources say.",,,
5,Melania Trump's popularity jumps in new CNN poll,cnn,"First lady Melania Trump has in recent weeks experienced a significant surge in support, a new CNN poll reveals, including among women and Democrats.",,,
5,First lady Melania Trump,cnn,See photos of Melania Trump since she became first lady of the United States.,,,
5,"Melania Trump unveils her platform, tells kids to 'Be Best'",cnn,"Melania Trump, nearly 16 months into her tenure as first lady, has at last revealed her formal platform: ""Be Best."" The comprehensive program will focus on three main points -- well-being, fighting opioid abuse and positivity on social media  -- and is the culmination of the past several months of Trump's various public events, all of which centered around helping children.",,,
5,Why Melania is winning in the court of public opinion,cnn,"The old-fashioned East Wing versus West Wing battle of the sexes is nothing new, but in the Trump White House, Melania Trump is winning in the court of public opinion, says Kate Andersen Brower.",,,
6,Lue weighs Thompson Game 2 start vs Horford,espn,"Cavaliers coach Tyronn Lue says he's weighing starting Tristan Thompson in Game 2, citing Thompson's success in guarding Celtics big man Al Horford.",,,
8,Caged tiger at Florida school prom,bbc-news,Concerns are raised on social media for welfare of a tiger unveiled to Florida students.,,,
8,"Melania Trump Had Surgery to Treat Benign Kidney Condition, White House Says",bloomberg,"First lady Melania Trump underwent successful surgery to treat a kidney condition on Monday, the White House said.",,,
2,This 22-Year-Old Bartender's Story About Being Handed Her Own Lost License As A Fake ID Has People Dying,buzzfeed,"""Nice fake, not the best pic of me is it?""",,,
2,"Answer These 8 Questions, And We'll Reveal The One Thing That Gets On Your Nerves The Most",buzzfeed,We know what's really driving you up the wall.,,,
1,Doom Patrol Series Coming to DC Streaming Service - IGN,ign,DC Universe's upcoming streaming platform has ordered 13 episodes for a Doom Patrol live-action series.,,,
8,Melania Trump Undergoes Successful Kidney Procedure,the-wall-street-journal,First lady Melania Trump was being hospitalized after a successful medical procedure to treat a benign kidney condition.,,,
9,Israel defends Gaza action as 55 killed,bbc-news,"Israel's PM says his military acted in self defence, as Palestinians condemn a ""massacre"".",,,
9,Meghan's father may not attend wedding,bbc-news,It is now unclear whether Meghan Markle's father will attend her wedding and walk her down the aisle.,,,
8,Melania Trump undergoes kidney surgery,bbc-news,"The embolisation procedure was successful and there were no complications, her office says.",,,
7,'Memory transplant' achieved in snails,bbc-news,Memories are transferred from one snail to another in a laboratory.,,,
